Name;Analys
улица Дусева; дусев
улица Степкина; степкин
Прудовая улица;"прудовой 
"
Серебряный переулок;"серебряный 
"
улица Генерала Гурова; генерал гуров
Сестрорецкая улица;"сестрорецкая 
"
Кемеровская улица;"кемеровский 
"
улица Баженова; баженова
улица Полковника Батюка; полковник батюк
улица Братьев Толмачёвых; брат толмачев
Зеленогорская улица;"зеленогорский 
"
Оросительная улица;"оросительный 
"
2-я Гидростроевская улица;"гидростроевский 
"
улица Павлика Морозова; павлик морозов
улица Колесникова; колесников
улица Шаденко; шаденко
Жмеринская улица;"жмеринский 
"
улица В.М.Кокова; в.м.коков
Грушовая улица;"грушовый 
"
Фестивальная улица;"фестивальный 
"
Пятиизбянская улица;"пятиизбянский 
"
Третьяковская улица;"третьяковский 
"
Виноградная улица;"виноградный 
"
Персиковый переулок;"персиковый 
"
Конечная улица;"конечный 
"
Первая улица;"первый 
"
Четвёртая улица;"четвертый 
"
Третья улица;"третий 
"
Чусовая улица;"чусовая 
"
улица 30;" 
"
улица Семеренко; семеренко
Любская улица;"любская 
"
Истринская улица;"истринский 
"
Вторая улица;"второй 
"
2-й Зелёный переулок;"зеленый 
"
Заводской переулок;"заводской 
"
Вольская улица;"вольская 
"
Руднянская улица;"руднянский 
"
Кирпичная улица;"кирпичный 
"
пр Ленина;
Джаныбековская улица;"джаныбековский 
"
Малая Садовая улица;"малый садовый 
"
Большая Садовая улица;"большой садовый 
"
Жмеринский переулок;"жмеринский 
"
Степновский переулок;"степновский 
"
Пятая улица;"пятый 
"
Десятая улица;"десятый 
"
улица Ползунова; ползунова
Балхашская улица;"балхашский 
"
Дорогобужская улица;"дорогобужский 
"
Старосельская улица;"старосельская 
"
Архивная улица;"архивный 
"
Мокшанская улица;"мокшанский 
"
Крайняя улица;"крайний 
"
Свияжская улица;"свияжский 
"
Рощинская улица;"рощинский 
"
улица Писемского; писемский
Волчанская улица;"волчанская 
"
Усманский переулок;"усманский 
"
улица Коммунаров; коммунар
улица Мичурина; мичурина
Саранский посёлок;
Миргородская улица;"миргородский 
"
Елецкий переулок;"елецкий 
"
Роменская улица;"роменский 
"
улица Ляпунова; ляпунова
Усть-Бузулукская улица;"устьбузулукский 
"
Терновая улица;"терновый 
"
Катерный переулок;"катерный 
"
Пригородная улица;"пригородный 
"
Молдавская улица;"молдавский 
"
Политотдельская улица;"политотдельский 
"
Колхозная улица;"колхозный 
"
улица Зорге; зорге
Сивашская улица;"сивашский 
"
улица Денисенко; денисенко
улица Стрельца; стрелец
улица Пожарского; пожарский
улица Красных Командиров; красный командир
улица Маяковского; маяковский
Коломенская улица;"коломенский 
"
Бородинская улица;"бородинский 
"
улица им. Пожарского; пожарский
Краснолиманская улица;"краснолиманский 
"
улица Грекова; греков
Ртищевская улица;"ртищевский 
"
улица Боровиковского; боровиковский
улица им. Елены Колесовой; елена колесова
улица Елены Колесовой; елена колесова
Чирчикская улица;"чирчикский 
"
Тепличный переулок;"тепличный 
"
Лесомелиоративная улица;"лесомелиоративный 
"
Дальневосточная улица;"дальневосточный 
"
Подгорная улица;"подгорный 
"
Семипалатинская улица;"семипалатинский 
"
Ленинабадская улица;"ленинабадский 
"
Пролейская улица;"пролейский 
"
Водопроводная улица;"водопроводный 
"
улица Коммуны; коммуна
Долгий переулок;"долгий 
"
Дербентская улица;"дербентский 
"
Воропоновская улица;"воропоновский 
"
Чебоксарский переулок;"чебоксарский 
"
Моздокский переулок;"моздокский 
"
Варненский переулок;"варненский 
"
Балканский переулок;"балканский 
"
улица им. Боровиковского; боровиковский
Земляничный переулок;"земляничный 
"
Старополтавская улица;"старополтавский 
"
Конноармейская улица;"конноармейский 
"
улица им. Стрельца; стрелец
Бежецкая улица;"бежецкая 
"
Пилотский переулок;"пилотский 
"
Каменная улица;"каменный 
"
Пилотская улица;"пилотский 
"
Камышинская улица;"камышинский 
"
Магнитная улица;"магнитная 
"
Нижнетагильская улица;"нижнетагильский 
"
Лиговский переулок;"лиговский 
"
Краснолиманский переулок;"краснолиманский 
"
Пограничный переулок;"пограничный 
"
улица Бестужева; бестужева
улица Щербакова; щербаков
Михайловский переулок;"михайловский 
"
2-й Майский переулок;"майский 
"
Мелитопольский переулок;"мелитопольский 
"
Абганеровская улица;"абганеровский 
"
Майская улица;"майский 
"
Гжатский переулок;"гжатский 
"
Никольский переулок;"никольский 
"
Куликовская улица;"куликовская 
"
Шамбрунский переулок;"шамбрунский 
"
Сквозной переулок;"сквозной 
"
Чембарская улица;"чембарский 
"
Чембарский переулок;"чембарский 
"
3-й проезд Покровского;
2-й проезд Покровского;
улица Покровского; покровский
4-й проезд Покровского;
1-й проезд Покровского;
5-й проезд Покровского;
улица Покровского 7-й пр.; покровский  пр.
6-й проезд Покровского;
улица им. Покровского; покровский
улица Покровского 8-й пр.; покровский  пр.
Советский переулок;"советский 
"
Набережный переулок;"набережный 
"
Щелковский переулок;"щелковский 
"
Ковыльная улица;"ковыльный 
"
Пальмовая улица;"пальмовый 
"
1-й Майский переулок;"майский 
"
Московский переулок;"московский 
"
Литовская улица;"литовский 
"
улица Чехова; чехов
Минеральная улица;"минеральный 
"
2-я улица Лескова; лесков
Репродукторная улица;"репродукторный 
"
Механическая улица;"механический 
"
Бурятская улица;"бурятский 
"
1-я улица Лескова; лесков
улица 26 Июня;  июнь
Учётная улица;"учетный 
"
Лесопильная улица;"лесопильный 
"
Ковыльный переулок;"ковыльный 
"
Ольховский переулок;"ольховский 
"
Гороховский переулок;"гороховский 
"
Мингечаурская улица;"мингечаурский 
"
Усть-Каменогорский переулок;"устькаменогорский 
"
Воткинский переулок;"воткинский 
"
Октябрьский переулок;"октябрьский 
"
Мраморный переулок;"мраморный 
"
улица Красных Партизан; красный партизан
Железный переулок;"железный 
"
Североморская улица;"североморский 
"
Кленовая улица;"кленовый 
"
Кизиловая улица;"кизиловый 
"
Тростниковая улица;"тростниковый 
"
Еловая улица;"еловый 
"
Дашавский переулок;"дашавский 
"
Клязьминская улица;"клязьминский 
"
Катальповая улица;"катальповая 
"
Бытовая улица;"бытовой 
"
Сокольниковская улица;"сокольниковский 
"
Красноозёрная улица;"красноозерный 
"
Шелковичная улица;"шелковичный 
"
Псковский переулок;"псковский 
"
Кленовый переулок;"кленовый 
"
улица Генерала Апанасенко; генерал апанасенко
Волжский переулок;"волжский 
"
переулок Генерала Апанасенко;генерал апанасенко
Даниловский переулок;"даниловский 
"
Тутовая улица;"тутовый 
"
Апельсиновая улица;"апельсиновый 
"
Анисовая улица;"анисовый 
"
Апельсиновый переулок;"апельсиновый 
"
Гранатовая улица;"гранатовый 
"
Катальповый переулок;"катальповый 
"
Абрикосовая улица;"абрикосовый 
"
Каштановая улица;"каштановый 
"
Вязовая улица;"вязовый 
"
Кипарисовая улица;"кипарисовый 
"
Хирургический переулок;"хирургический 
"
улица Седова; седов
Медвежьегорская улица;"медвежьегорский 
"
Офицерская улица;"офицерский 
"
Ясеневая улица;"ясеневый 
"
Рябиновая улица;"рябиновый 
"
Розовая улица;"розовый 
"
улица Матюшенко; матюшенко
Миндальная улица;"миндальный 
"
Астровая улица;"астровый 
"
Забайкальская улица;"забайкальский 
"
улица Композитора Варламова; композитор варламов
улица Войкова; войков
Тюльпановая улица;"тюльпановый 
"
Рославльская улица;"рославльский 
"
Североозёрная улица;"североозерный 
"
Южно-Уральская улица;"южноуральский 
"
Фиалковая улица;"фиалковый 
"
Ромашковая улица;"ромашковый 
"
Бамбуковая улица;"бамбуковый 
"
Косогорная улица;"косогорный 
"
Павлодарская улица;"павлодарский 
"
Дубовая улица;"дубовый 
"
Южнобережный переулок;"южнобережный 
"
Южнобережная улица;"южнобережный 
"
улица Генерала Доватора; генерал доватор
улица Кипренского; кипренский
улица Коллонтай; коллонтай
Шаблиевская улица;"шаблиевский 
"
Ореховая улица;"ореховый 
"
Кременская улица;"кременский 
"
Бамбуковая  улица;"бамбуковый  
"
Ильмовая улица;"ильмовый 
"
улица Шевченко; шевченко
улица Луначарского; луначарский
улица Достоевского; достоевский
улица Добролюбова; добролюбов
улица 2-я Капустная балка; капустный балка
улица 1-я Капустная Балка; капустный балка
улица 3-я Капустная Балка; капустный балка
посёлок Капустная балка;
улица Капустная балка 2;" капустный балка 
"
улица Алексеева; алексеева
Синельниковская улица;"синельниковский 
"
улица Рубинштейна; рубинштейн
улица Композитора Гурилева; композитор гурилева
улица Лейтенанта Лукина; лейтенант лукин
Клайпедская улица;"клайпедский 
"
Верхнеднепровская улица;"верхнеднепровский 
"
Внуковская улица;"внуковский 
"
Каунасская улица;"каунасский 
"
Перещепинская улица;"перещепинский 
"
Нижнеднепровская улица;"нижнеднепровский 
"
улица Тани Скоробогатовой; таня скоробогатова
Новокраматорский переулок;"новокраматорский 
"
улица Михаила Фрунзе; михаил фрунзе
улица Полотебнова; полотебнов
улица Шишкина; шишкин
улица Горячкина; горячкин
улица Лазерева; лазерева
улица Ильи Каплунова; илья каплунов
улица Каменщикова; каменщиков
улица Танкиста Маркина; танкист маркина
Катунская улица;"катунский 
"
Суходольская улица;"суходольская 
"
Бирюсинская улица;"бирюсинский 
"
Туманская улица;"туманский 
"
Яузенская улица;"яузенский 
"
Тобольская улица;"тобольский 
"
Ильменская улица;"ильменский 
"
Деснянская улица;"деснянская 
"
Надымская улица;"надымский 
"
улица Воронкова; воронкова
переулок Успенского;успенский
Черемшанская улица;"черемшанский 
"
Кедровая улица;"кедровый 
"
Барнаульская улица;"барнаульский 
"
Дубовский переулок;"дубовский 
"
Сухореченский переулок;"сухореченский 
"
2-й переулок Никитина;никитин
1-й переулок Никитина;никитин
переулок Добролюбова;добролюбов
улица Серафимовича; серафимович
улица Радищева; радищев
Астраханский переулок;"астраханский 
"
Первоуральская улица;"первоуральский 
"
Шлюзовая улица;"шлюзовой 
"
улица Гастелло; гастелло
Североуральская улица;"североуральский 
"
Мопровская улица;"мопровский 
"
улица Декабристов; декабристов
Братская улица;"братский 
"
Пехотная улица;"пехотный 
"
Аврорская улица;"аврорская 
"
улица Шекспира; шекспир
улица Ромена Роллана; ромен роллан
переулок Достоевского;достоевский
Ключевой переулок;"ключевой 
"
улица Белинского; белинский
улица Короленко; короленко
Зоологическая улица;"зоологический 
"
Базарный переулок;"базарный 
"
Красноуфимская улица;"красноуфимский 
"
улица Селищева; селищев
Краснодонский переулок;"краснодонский 
"
1-й переулок Короленко;короленко
улица Успенского; успенский
Балаковский переулок;"балаковский 
"
Клубный переулок;"клубный 
"
Барбарисовая улица;"барбарисовый 
"
Травяная улица;"травяной 
"
улица Энергетиков; энергетик
Долгопрудная улица;"долгопрудный 
"
Солёная улица;"соленый 
"
Пятигорская улица;"пятигорский 
"
переулок Розы Люксембург;роза люксембург
Тутовый переулок;"тутовый 
"
Кедровый переулок;"кедровый 
"
Черемшанский переулок;"черемшанский 
"
Тополевый переулок;"тополевый 
"
Лиственная улица;"лиственный 
"
Хвойная улица;"хвойный 
"
Розовая переулок;"розовый 
"
Сенная улица;"сенной 
"
Фиалковый переулок;"фиалковый 
"
1-й проезд;
2-й проезд;
улица Розы Люксембург; роза люксембург
улица 1-й Пятилетки; пятилетка
Печатный переулок;"печатный 
"
Ачинский переулок;"ачинский 
"
Залесский переулок;"залесский 
"
улица Жуковского; жуковский
улица Сурикова; суриков
Параллельная улица;"параллельный 
"
Химзаводская улица;"химзаводской 
"
Промысловая улица;"промысловый 
"
улица Шиллера; шиллер
улица посёлок Веселая Балка; поселок веселый балка
улица В.М.Шукшина; в.м.шукшин
улица Григория Засекина; григорий засекин
улица Буркова; буркова
улица Симонова; симонов
улица Маргариты Агашиной; маргарита агашина
улица Окунева; окунев
улица Богомолова; богомолов
улица Платонова; платонов
улица Стругацких; стругацкий
Илекская улица;"илекский 
"
улица Академика Лихачёва; академик лихачев
улица Бунина; бунин
улица Шолохова; шолохов
улица Аверченко; аверченко
улица Булгакова; булгаков
улица Зощенко; зощенко
переулок Аверченко;аверченко
улица Ивана Лапикова; иван лапиков
Горнополянская улица;"горнополянский 
"
улица Лётчика Лямина; летчик лямин
Угловая улица;"угловой 
"
Даманская улица;"даманский 
"
улица Фёдора Крюкова; федор крюкова
улица Николая Любимова; николай любимов
улица Григория Горина; григорий горин
улица Лётчика Холодова; летчик холодов
улица Александра Баскакова; александра баскакова
Печёрская улица;"печерский 
"
Университетский;
улица Маршала Василевского; маршал василевский
30-я линия;
улица Маршала Воронова; маршал воронова
Таймырский проезд;
Аткарский переулок;"аткарский 
"
Больничный переулок;"больничный 
"
Больничная улица;"больничный 
"
Бригадная улица;"бригадный 
"
Васильсурская улица;"васильсурский 
"
Сальская улица;"сальская 
"
улица Покрышкина; покрышкина
улица Ивана Морозова; иван морозов
Мезенская улица;"мезенский 
"
улица 51-й Гвардейской Дивизии; гвардейский дивизия
Водная улица;"водный 
"
улица Лейтенанта Мостового; лейтенант мостовый
переулок Лейтенанта Мостового;лейтенант мостовый
Геологическая улица;"геологический 
"
Вольная улица;"вольная 
"
Микрорайон;
Новая улица;"новый 
"
Фастовская улица;"фастовский 
"
улица Новостройка; новостройка
Гомельская улица;"гомельский 
"
Привокзальная улица;"привокзальный 
"
Ольховская улица;"ольховский 
"
улица Мушкетова; мушкетова
улица Палиашвили; палиашвили
Широкая улица;"широкий 
"
Станционная улица;"станционный 
"
Портовская улица;"портовский 
"
Дубовый переулок;"дубовый 
"
улица Рылеева; рылеев
Монтёрская улица;"монтерский 
"
Шахтинская улица;"шахтинский 
"
улица Некрасова; некрасова
Симбирский переулок;"симбирский 
"
Гатчинская улица;"гатчинский 
"
улица Павших борцов; пасть борец
площадь 40 лет Сталинградской битвы;
Лесогорская улица;"лесогорский 
"
Тайшетский проезд;
Аптечный проезд;
Серийный проезд;
Жигулёвская улица;"жигулевский 
"
Виноградный переулок;"виноградный 
"
Мариинская улица;"мариинский 
"
Княгинская улица;"княгинский 
"
Венская улица;"венский 
"
Дунайская улица;"дунайский 
"
Привольная улица;"привольный 
"
25 лет Октября;
улица Чуркина; чуркина
улица 19-я Линия; линия
Кронштадтская улица;"кронштадтский 
"
Вяземская улица;"вяземский 
"
Лужская улица;"лужский 
"
Кабардинская улица;"кабардинский 
"
Острогожская улица;"острогожский 
"
Котлубанская улица;"котлубанский 
"
Кайсацкая улица;"кайсацкий 
"
Суровикинская улица;"суровикинский 
"
Стадионная улица;"стадионный 
"
улица Североморцев; североморец
Нагорная улица;"нагорный 
"
Кольцевая улица;"кольцевой 
"
улица Куприна; куприн
Красноволжская улица;"красноволжский 
"
Шахтёрская улица;"шахтерский 
"
Чебоксарская улица;"чебоксарский 
"
Карьерная улица;"карьерный 
"
Огородная улица;"огородный 
"
Мончегорская улица;"мончегорский 
"
улица Просвещения; просвещение
Минераловодская улица;"минераловодский 
"
Ставропольская улица;"ставропольский 
"
Ленская улица;"ленский 
"
Грузинская улица;"грузинский 
"
Васильковская улица;"васильковский 
"
Севастопольская улица;"севастопольский 
"
Курская улица;"курская 
"
Каспийская улица;"каспийский 
"
Карская улица;"карский 
"
улица Мелиораторов; мелиоратор
Рузаевская улица;"рузаевский 
"
улица Алишера Навои; алишер навои
улица Мостостроителей; мостостроитель
Вокзальная улица;"вокзальный 
"
Вильнюсская улица;"вильнюсский 
"
Высоковольтная улица;"высоковольтный 
"
улица 1-я Линия; линия
улица Фридриха Энгельса; фридрих энгельс
Приморская улица;"приморский 
"
Украинская улица;"украинский 
"
Азовская улица;"азовский 
"
улица Чкалова; чкалов
Алтайская улица;"алтайский 
"
Енисейская улица;"енисейский 
"
улица № 11;" № 
"
Канальная улица;"канальный 
"
улица Аллея Строителей; аллея строитель
Алданская улица;"алданский 
"
улица Азизбекова; азизбеков
Грейдерная улица;"грейдерный 
"
Ашхабадская улица;"ашхабадский 
"
Карповская улица;"карповский 
"
Ленкоранская улица;"ленкоранский 
"
Елабужская улица;"елабужский 
"
Чонгарская улица;"чонгарский 
"
Иверская улица;"иверский 
"
Ежовская улица;"ежовский 
"
Сиреневый бульвар;"сиреневый 
"
Платановая улица;"платановый 
"
Ивовая улица;"ивовый 
"
Паслёновая улица;"пасленовый 
"
Тисовая улица;"тисовый 
"
Черешневая улица;"черешневый 
"
Калачёвская улица;"калачевский 
"
Персиковая улица;"персиковый 
"
Серебряная улица;"серебряный 
"
Пойменная улица;"пойменный 
"
Думская улица;"думский 
"
Скифская улица;"скифский 
"
Административная улица;"административный 
"
Авторемонтная улица;"авторемонтный 
"
Томская улица;"томский 
"
Средневолжская улица;"средневолжский 
"
Карпатский проезд;
Максимовский разъезд;
Белоглинская улица;"белоглинский 
"
Куйбышевская улица;"куйбышевский 
"
40 лет Сталинградской битвы;
8-й Воздушной Армии улица;" воздушный армия 
"
улица Нефтяников; нефтяник
улица Павших Борцов; пасть борец
площадь Павших борцов;
Площадь Возрождения;
улица 8-го Гвардейского Танкового корпуса; го гвардейский танковый корпус
улица Луконина; луконина
Трубный проезд;
51 Гвардейская;
проезд Нефтяников;
Калужская улица;"калужский 
"
Образцовая улица;"образцовый 
"
улица 70 лет Октября; год октябрь
улица Ковентри; ковентри
улица Зенитчиков; зенитчик
Тунисский проезд;
проезд Дорожников;
улица Балакирева; балакирев
улица Возрождения; возрождение
улица Герцена; герцен
улица им. Герцена; герцен
улица Щорса; щорс
Верхняя улица;"верхний 
"
Верхний переулок;"верхний 
"
Донской переулок;"донской 
"
Садовый переулок;"садовый 
"
Озёрная улица;"озерный 
"
улица Есенина; есенин
улица Малозёмова; малоземов
Лиховская улица;"лиховский 
"
Владимирская улица;"владимирский 
"
улица Грибанова; грибанова
улица Солнечникова; солнечников
улица Михайлова; михайлов
Черноморская улица;"черноморский 
"
944 км трасса Р22 «Каспий» (с правой стороны по направлению в г. Волгоград);
Орошаемая улица;"орошаемый 
"
Ельшанская набережная;
улица им. Матевосяна; матевосян
улица Алехина; алехин
Бетонная улица;"бетонный 
"
проезд Геофизиков;
Прутский проезд;
улица Дорожников; дорожник
Прямая улица;"прямой 
"
Бульвар Профсоюзов;профсоюз
Иртышская улица;"иртышский 
"
Металлургическая улица;"металлургический 
"
Тамбовская улица;"тамбовский 
"
Кубинская улица;"кубинский 
"
Батурская улица;"батурский 
"
Онежская улица;"онежский 
"
Балтийская улица;"балтийский 
"
Демократическая улица;"демократический 
"
Станция Садовая;
улица Зевина; зевин
про;
Яблочная улица;"яблочный 
"
Павловская улица;"павловский 
"
улица Панина; панин
Черновицкая улица;"черновицкий 
"
Двуреченская улица;"двуреченский 
"
Чарджуйская улица;"чарджуйский 
"
улица Иванова; иванова
Бирская улица;"бирский 
"
Юная улица;"юный 
"
улица Коровина; коровина
Лагерная улица;"лагерный 
"
Селенгинская улица;"селенгинский 
"
Белостокская улица;"белостокский 
"
улица Николая Сердюкова; николай сердюкова
улица Бредихина; бредихина
Армянская улица;"армянский 
"
Мемельская улица;"мемельский 
"
Преображенская улица;"преображенский 
"
Переяславская улица;"переяславский 
"
улица Лавренёва; лавренев
улица Восстания; восстание
Таллинская улица;"таллинский 
"
Северокавказская улица;"северокавказский 
"
улица Крупской; крупская
улица Жданова; жданова
Нахичеванская улица;"нахичеванский 
"
Рыночная улица;"рыночный 
"
Славянская улица;"славянский 
"
улица Лысенко; лысенко
Жигулёвский переулок;"жигулевский 
"
Цветочный переулок;"цветочный 
"
Приовражный переулок;"приовражный 
"
улица 40 лет Октября; год октябрь
переулок Степана Разина;степан разина
Северная улица;"северный 
"
Прохладный переулок;"прохладный 
"
Покровская улица;"покровский 
"
Жемчужный переулок;"жемчужный 
"
Казачий переулок;"казачий 
"
улица Красина; красин
Авиационная улица;"авиационный 
"
1-я Озёрная улица;"озерный 
"
переулок 1 Котец;котец
улица Урицкого; урицкий
улица Суворова; суворов
улица Жлобина; жлобин
улица Баканева; баканев
Кривой переулок;"кривая 
"
переулок Перская;перская
улица 12 Декабря; декабрь
улица 1 Мая; май
2-я Озёрная улица;"озерный 
"
Харьковская улица;"харьковский 
"
Детская улица;"детская 
"
Полтавская улица;"полтавский 
"
Лебединская улица;"лебединская 
"
улица Кутузова; кутузов
Болсановская улица;"болсановский 
"
Солянская улица;"солянский 
"
Волховская улица;"волховский 
"
улица Д. Бедного; д. бедный
Степной переулок;"степной 
"
Чинарская улица;"чинарский 
"
улица Джамбула Джабаева; джамбул джабаева
улица Фиолетова; фиолетовый
улица Джапаридзе; джапаридзе
улица Александра Беляева; александра беляев
улица Петра Круглова; петр круглов
улица Михаила Чембарова; михаил чембарова
улица Николая Сарафанова; николай сарафанова
улица Ващенко; ващенко
улица Пчелина; пчелиный
улица Дубинина; дубинина
улица Савицкого; савицкий
улица Дарвина; дарвин
улица Генерала Хрюкина; генерал хрюкина
улица Максима Пассара; максим пассар
улица Кошута; кошут
улица Мочалова; мочалова
улица Яна Райниса; яна райнис
улица Антонина Дворжака; антонина дворжак
улица Павленко; павленко
улица Юлиуса Фучика; юлиус фучик
улица Коганова; коганова
улица Басина; басина
улица Чембарова; чембаров
переулок Полухина;полухина
улица Габышева; габышева
улица Солнцева; солнцев
улица Генерала Гурьева; генерал гурьев
Соловьиная улица;"соловьиный 
"
Райский переулок;"райский 
"
Рубиновый переулок;"рубиновый 
"
Черёмуховая улица;"черемуховый 
"
переулок Ващенко;ващенко
переулок Николая Сарафанова;николай сарафанова
улица Корганова; корганова
Карагандинская улица;"карагандинский 
"
Нижнечирская улица;"нижнечирский 
"
Пр Университетский;
Курмоярская улица;"курмоярская 
"
Подтелковская улица;"подтелковский 
"
Балыклейская улица;"балыклейский 
"
Светогорская улица;"светогорский 
"
Арчединская улица;"арчединский 
"
Абаканская улица;"абаканский 
"
Серноводская улица;"серноводский 
"
Верейская улица;"верейская 
"
Чернышковская улица;"чернышковский 
"
Ельниковый переулок;"ельниковый 
"
Актюбинская улица;"актюбинский 
"
Каховская улица;"каховский 
"
Малая Кольцевая улица;"малый кольцевой 
"
Ерусланская улица;"ерусланский 
"
Медведецкая улица;"медведецкая 
"
Хопёрская улица;"хоперский 
"
Казачья улица;"казачий 
"
микрорайон Южный улица Покровская;микрорайон южный  покровский
улица Бегичева; бегичев
улица Мусы Джалиля; мус джалиля
Кузнечная улица;"кузнечный 
"
переулок Тракторострой;тракторострой
улица Уварова; уваров
Береговая улица;"береговой 
"
Смоленская улица;"смоленский 
"
Слободская улица;"слободской 
"
Паласовская улица;"паласовский 
"
Быковская улица;"быковский 
"
Царевская улица;"царевский 
"
Рахинская улица;"рахинский 
"
Западная улица;"западный 
"
Рудовская улица;"рудовский 
"
улица Победителей; победитель
Черниговская улица;"черниговский 
"
Спортивный переулок;"спортивный 
"
Вятская улица;"вятский 
"
улица Клары Нечаевой; клара нечаева
Парниковый переулок;"парниковый 
"
Пригородный переулок;"пригородный 
"
Глухой переулок;"глухой 
"
Тифлисская улица;"тифлисский 
"
Козмольский переулок;"козмольский 
"
улица Толстого; толстой
улица Янки Купалы; янка купала
улица Малиновского; малиновский
улица Ивановского; ивановский
улица Бабича; бабич
улица Пономарёва; пономарев
улица Помнющего; помнющий
улица Моисеева; моисеева
улица Ерина; ерин
Научная улица;"научный 
"
улица Ханпаши Нурадилова; ханпаши нурадилов
Кагальникская улица;"кагальникская 
"
Адлерская улица;"адлерский 
"
Костомаровская улица;"костомаровский 
"
Адлерский переулок;"адлерский 
"
улица Жлобы; жлоб
Керамическая улица;"керамический 
"
улица Ильина; ильин
площадь Матросова;
улица Джамбулы Джабаева; джамбул джабаева
улица Германа; герман
Таврическая улица;"таврический 
"
Театральная улица;"театральный 
"
улица Диккенса; диккенс
Орская улица;"орский 
"
Измайловская улица;"измайловский 
"
улица Стасова; стасова
улица Моисеенко; моисеенко
посёлок Южный;
Шумроватый переулок;"шумроватый 
"
улица Елены Стемпковской; елена стемпковской
площадь Дзержинского;
Кинешминская улица;"кинешминский 
"
Керамический переулок;"керамический 
"
Кедроградская улица;"кедроградский 
"
улица Житкова; житкова
улица Станислава Монюшко; станислава монюшко
Денисовская улица;"денисовский 
"
улица Марка Твена; марка твен
Бессарабская улица;"бессарабский 
"
Глубинная улица;"глубинный 
"
Лениногорская улица;"лениногорский 
"
Штурманский переулок;"штурманский 
"
улица им. Лермонтова; лермонтов
Аральская улица;"аральский 
"
улица им. Туманяна; туманян
Причальная улица;"причальный 
"
Подгорный переулок;"подгорный 
"
Новопортная улица;"новопортный 
"
улица Костюшко; костюшко
Западный переулок;"западный 
"
Привокзальная площадь;
улица Шуберта; шуберт
улица Марата; марат
Старорусская улица;"старорусский 
"
Нижняя улица;"нижний 
"
Ольгинская улица;"ольгинский 
"
Островная улица;"островной 
"
улица Красных Зорь; красный зоря
Пригородный тупик;
улица Волкова; волков
Портовый переулок;"портовый 
"
улица Чаадаева; чаадаева
улица Марковникова; марковников
улица Миклухо-Маклая; миклухомаклай
Еланская улица;"еланский 
"
Ровенский переулок;"ровенский 
"
Ежевичная улица;"ежевичный 
"
Урожайная улица;"урожайный 
"
Цветочная улица;"цветочный 
"
улица Лундышева; лундышева
улица Иваницкого; иваницкий
улица Красикова; красиков
Чечено-Ингушская улица;"чеченоингушский 
"
Енотаевская улица;"енотаевский 
"
Нарвская улица;"нарвский 
"
Морфлотская улица;"морфлотский 
"
Белоглининская улица;"белоглининский 
"
Автозаводская улица;"автозаводской 
"
улица Макаренко; макаренко
улица Пирогова; пирогов
Приокская улица;"приокский 
"
Манычская улица;"манычский 
"
улица Москвичёва; москвичев
Янтарная улица;"янтарный 
"
улица ЛЗС; лзс
Воронежская улица;"воронежский 
"
улица Курочкина; курочкин
Ереванская улица;"ереванский 
"
Бекетовская улица;"бекетовский 
"
улица Наримана; нариман
Огородный переулок;"огородный 
"
Лесхозная улица;"лесхозный 
"
Туркестанская улица;"туркестанский 
"
Завоеванская улица;"завоеванский 
"
Байкальская улица;"байкальский 
"
улица Лылова; лылов
Пролетарский переулок;"пролетарский 
"
Забалковская улица;"забалковский 
"
Юбилейная улица;"юбилейный 
"
Прогонный переулок;"прогонный 
"
Весёлая улица;"веселый 
"
Забалковский переулок;"забалковский 
"
Сосновая улица;"сосновый 
"
Прогонная улица;"прогонный 
"
193;
улица Лисянского; лисянский
Камышовая улица;"камышовый 
"
улица Вячеслава Шишкова; вячеслав шишкова
Днепровская улица;"днепровский 
"
улица Венецианова; венецианова
Бульварная улица;"ная 
"
Волынская улица;"волынский 
"
Феодосийская улица;"феодосийский 
"
Ужгородская улица;"ужгородский 
"
Тбилисская улица;"тбилисский 
"
Мариновская улица;"мариновский 
"
Перелазовская улица;"перелазовский 
"
Новосёловская улица;"новоселовский 
"
,23 стрелковой дивизии улица;",стрелковый дивизия 
"
Землячки - Игарская;
Придорожная улица;"придорожный 
"
улица Лобачевского; лобачевский
улица Академика Палладина; академик палладина
Яснополянская улица;"яснополянский 
"
Нальчикская улица;"нальчикский 
"
Нефтегорская улица;"нефтегорский 
"
Алмазная улица;"алмазный 
"
улица Брюллова; брюллов
Малиновая улица;"малиновый 
"
Таловская улица;"таловский 
"
улица 10;" 
"
Читинская улица;"читинский 
"
Поворинская улица;"поворинский 
"
улица Докучаева; докучаев
Университетская улица;"университетский 
"
Окольная улица;"окольный 
"
Оленегорская улица;"оленегорский 
"
Крутая улица;"крутой 
"
Курганная улица;"курганный 
"
Звёздная улица;"звездный 
"
Высотная улица;"высотный 
"
Плодородная улица;"плодородный 
"
Черноярская улица;"черноярская 
"
ж.д.станция Татьянка;
Ряжская улица;"ряжский 
"
Медногорская улица;"медногорский 
"
Джанкойская улица;"джанкойский 
"
Лисичанская улица;"лисичанский 
"
Каменец-Подольская улица;"каменецподольский 
"
Горностаевская улица;"горностаевский 
"
Доволенская улица;"доволенский 
"
улица Лядова; лядова
Центральный переулок;"центральный 
"
Альпийская улица;"альпийский 
"
Барабинская улица;"барабинский 
"
